n,alpha,T_c
7,0.4,0.13286513361181682
7,0.41,0.13692166852763113
7,0.42,0.14087027225231896
7,0.43,0.14474404419391956
7,0.44,0.1490034226985422
7,0.45,0.15220247370550435
7,0.46,0.15582297434272296
7,0.47,0.15926421737366692
7,0.48,0.16317046854951406
7,0.49,0.1665305078376188
7,0.5,0.1702596589984668
7,0.51,0.17301760241456302
7,0.52,0.17672970053289025
7,0.53,0.18009565383695195
7,0.54,0.1836910432889698
7,0.55,0.18750268286389382
7,0.56,0.19166262604796808
7,0.57,0.19547396443641166
7,0.58,0.19913153107565587
7,0.59,0.20382124892171116
7,0.6,0.20751020736729603
7,0.61,0.21142678339969853
7,0.62,0.2157237922115134
7,0.63,0.21998466677560746
7,0.64,0.22367133691802582
7,0.65,0.22777835891959808
7,0.66,0.23204359735505167
7,0.67,0.23583311592966538
7,0.68,0.24066603593020156
7,0.69,0.24513812252239647
7,0.7,0.24898923725179117
7,0.71,0.2534354652824137
7,0.72,0.2579872904556341
7,0.73,0.26441764030507503
7,0.74,0.2698638568291083
7,0.75,0.2746424536927718
7,0.76,0.27953000659457977
7,0.77,0.28434801046826574
7,0.78,0.2901515425924003
7,0.79,0.2950876923566623
7,0.8,0.3001796064305019
7,0.81,0.3046086849532997
7,0.82,0.3100240213633316
7,0.83,0.3160120809013654
7,0.84,0.32140126732098395
7,0.85,0.32698489679558634
7,0.86,0.33269479766565163
7,0.87,0.33778549835900007
7,0.88,0.342718847276016
7,0.89,0.34806775103244325
7,0.9,0.35409184708201163
7,0.91,0.3595857312060386
7,0.92,0.3648674502401804
7,0.93,0.37056376371264993
7,0.94,0.3769710268340367
7,0.95,0.3838452621861758
7,0.96,0.3921895379924887
7,0.97,0.40016456342218226
7,0.98,0.4085136315621171
7,0.99,0.4202908294391738
8,0.01,0.011114204966783794
8,0.02,0.014392796079870556
8,0.03,0.016520817442902548
8,0.04,0.019051733548605496
8,0.05,0.021161848872358648
8,0.06,0.02320486070626636
8,0.07,0.025156549719961233
8,0.08,0.02751820270221689
8,0.09,0.029774606624256496
8,0.1,0.0326889897551622
8,0.11,0.035430679806409134
8,0.12,0.03820325498860036
8,0.13,0.040988803370260764
8,0.14,0.04354439294139682
8,0.15,0.04601624005821686
8,0.16,0.04940349496680397
8,0.17,0.052824533969522344
8,0.18,0.056193291267813444
8,0.19,0.058938157627846904
8,0.2,0.0621084414195537
8,0.21,0.06585036773062816
8,0.22,0.06899977837887467
8,0.23,0.07301479470302422
8,0.24,0.07704197067631262
8,0.25,0.08092692769047469
8,0.26,0.08465843576894018
8,0.27,0.08837292327546667
8,0.28,0.09210048403528427
8,0.29,0.0958789265889572
8,0.3,0.09978890309727234
8,0.31,0.10339454850123869
8,0.32,0.10773890739525689
8,0.33,0.11113770673993131
8,0.34,0.11584953172802848
8,0.35,0.12058199915708681
8,0.36,0.1247378117239576
8,0.37,0.12928871982701953
8,0.38,0.13367452930978913
8,0.39,0.13743083159732888
8,0.4,0.14185873432976567
8,0.41,0.14558943455097095
8,0.42,0.14978278509252102
8,0.43,0.1529048794896924
8,0.44,0.1565033117966562
8,0.45,0.16098406390813638
8,0.46,0.16533890002724597
8,0.47,0.16892565069830345
8,0.48,0.17316700696888668
8,0.49,0.176833959018554
8,0.5,0.1803299685666631
8,0.51,0.18377656081970284
8,0.52,0.18783109115908828
8,0.53,0.191467590240485
8,0.54,0.19547968171707844
8,0.55,0.2000937231513314
8,0.56,0.20343854544769394
8,0.57,0.20764955178324457
8,0.58,0.2123532660875488
8,0.59,0.21580567214116894
8,0.6,0.22056133020099658
8,0.61,0.22497351866880258
8,0.62,0.2287447862347526
8,0.63,0.2332432155591631
8,0.64,0.23689753026221497
8,0.65,0.24098775844429657
8,0.66,0.24465245844379555
8,0.67,0.24835160358669509
8,0.68,0.2536767646822997
8,0.69,0.25934691577565994
8,0.7,0.2641003347425263
8,0.71,0.2685669279953027
8,0.72,0.273184828651712
8,0.73,0.27684499516397804
8,0.74,0.2817074885766133
8,0.75,0.28620546895281723
8,0.76,0.29044668891728537
8,0.77,0.2960673963804667
8,0.78,0.3008276364054972
8,0.79,0.3059870182654478
8,0.8,0.3108377309723409
8,0.81,0.3161681080431021
8,0.82,0.3212706161732915
8,0.83,0.32651098417286095
8,0.84,0.33097266368642536
8,0.85,0.33571728356770647
8,0.86,0.3412433947431385
8,0.87,0.3463286091915106
8,0.88,0.3521346144682571
8,0.89,0.35663549699510877
8,0.9,0.3611161196073882
8,0.91,0.36603420881191534
8,0.92,0.3714765369326931
8,0.93,0.3767181380279545
8,0.94,0.38261700160247253
8,0.95,0.3878195018815125
8,0.96,0.3950962014602655
8,0.97,0.4018576900873731
8,0.98,0.4092871213098438
8,0.99,0.4226141782687026
9,0.01,0.01187779440414089
9,0.02,0.015531653527533197
9,0.03,0.018473531385789447
9,0.04,0.02131429519369903
9,0.05,0.024141267803816868
9,0.06,0.026536793259658808
9,0.07,0.029066432938363012
9,0.08,0.03237555942308082
9,0.09,0.03558745432499322
9,0.1,0.038141726174740126
9,0.11,0.04117230506173694
9,0.12,0.04404704372060589
9,0.13,0.04749587365698686
9,0.14,0.05098247199294196
9,0.15,0.05421350202489424
9,0.16,0.05762192711274563
9,0.17,0.06117639110835704
9,0.18,0.06522964884954426
9,0.19,0.06918766473462613
9,0.2,0.07323038088565344
9,0.21,0.07710962029365355
9,0.22,0.08099999511202832
9,0.23,0.08409576583477472
9,0.24,0.08730102627801266
9,0.25,0.09115846345747265
9,0.26,0.0946490911585042
9,0.27,0.09865234835870115
9,0.28,0.10265400643692252
9,0.29,0.10657048630369262
9,0.3,0.11041072652245251
9,0.31,0.11428576344511751
9,0.32,0.11821785041615063
9,0.33,0.12306273203371428
9,0.34,0.1269192097243115
9,0.35,0.13076914411863189
9,0.36,0.13482361851017843
9,0.37,0.13914527997165338
9,0.38,0.1430830463065778
9,0.39,0.14692569781872736
9,0.4,0.15081446874034177
9,0.41,0.1542855546279117
9,0.42,0.15765240840462985
9,0.43,0.1612476726720534
9,0.44,0.1649491416201752
9,0.45,0.16866108067602503
9,0.46,0.17253991204888594
9,0.47,0.17637277865013873
9,0.48,0.17975105817576065
9,0.49,0.18383649540388142
9,0.5,0.186947812625831
9,0.51,0.19054639775507123
9,0.52,0.1947175186938102
9,0.53,0.19874222854305892
9,0.54,0.20258143016756142
9,0.55,0.206378119524302
9,0.56,0.21000418602320234
9,0.57,0.2142291274726712
9,0.58,0.21822681178088865
9,0.59,0.22241346441086662
9,0.6,0.2260324939238712
9,0.61,0.22975576341076512
9,0.62,0.23340525565822337
9,0.63,0.2371012334551844
9,0.64,0.24121430034688468
9,0.65,0.24529812937447673
9,0.66,0.2488910231276842
9,0.67,0.2531289816491622
9,0.68,0.25646031183124784
9,0.69,0.2608226026229769
9,0.7,0.2656503062241114
9,0.71,0.26998195137788455
9,0.72,0.27346906380118247
9,0.73,0.27807977937645445
9,0.74,0.282906203415494
9,0.75,0.2878409145828096
9,0.76,0.2922510334480058
9,0.77,0.29691551028778523
9,0.78,0.3014190410946372
9,0.79,0.30617773876238547
9,0.8,0.3109284281869648
9,0.81,0.31598711630208137
9,0.82,0.3202583392922496
9,0.83,0.32521009812268165
9,0.84,0.3303289392253201
9,0.85,0.3353535868958428
9,0.86,0.3407317997002301
9,0.87,0.3457744543142283
9,0.88,0.35167085894689415
9,0.89,0.3572006429620336
9,0.9,0.36194062444498676
9,0.91,0.3663849750263318
9,0.92,0.3713351382248662
9,0.93,0.3757343718519071
9,0.94,0.3805805990152185
9,0.95,0.3864265376477086
9,0.96,0.391736409041353
9,0.97,0.39900789387742835
